epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.8488,1.31449,2.14683,1.1671,0.52895,0.59182,0.58605,0.37172,1.17303,1.37428,1.10736,0.000413996,0.000413996,0.000413996
2,129.358,1.21626,1.26479,1.12701,0.77331,0.57862,0.66586,0.45289,1.13024,1.12438,1.09461,0.000822439,0.000822439,0.000822439
3,189.414,1.19879,1.13297,1.12251,0.68336,0.70507,0.72487,0.49165,1.11499,1.00262,1.07175,0.00122263,0.00122263,0.00122263
4,256.247,1.1619,1.0432,1.09796,0.78181,0.65042,0.73239,0.50372,1.14389,0.95656,1.1064,0.00121287,0.00121287,0.00121287
5,326.268,1.15047,0.97736,1.09039,0.73224,0.60108,0.69344,0.48656,1.10529,0.98123,1.10288,0.0012005,0.0012005,0.0012005
6,397.393,1.12409,0.89502,1.0858,0.64529,0.75384,0.73933,0.52149,1.09109,0.81568,1.07757,0.00118812,0.00118812,0.00118812
7,473.877,1.1135,0.86353,1.08147,0.69169,0.76097,0.7678,0.51555,1.09361,0.79888,1.07831,0.00117575,0.00117575,0.00117575
8,548.168,1.10766,0.835,1.06563,0.78404,0.64255,0.77515,0.55601,1.09259,0.7969,1.07819,0.00116337,0.00116337,0.00116337
9,620.475,1.09209,0.80531,1.06622,0.69204,0.83758,0.80637,0.58952,1.06243,0.75578,1.05628,0.001151,0.001151,0.001151
10,691.49,1.06735,0.76484,1.05014,0.66819,0.78786,0.78669,0.56413,1.14518,0.78849,1.10599,0.00113863,0.00113863,0.00113863
11,759.513,1.07572,0.75595,1.05765,0.74418,0.74998,0.80212,0.58066,1.09207,0.74889,1.08294,0.00112625,0.00112625,0.00112625
12,828.363,1.06894,0.75149,1.05076,0.818,0.75117,0.78914,0.5708,1.10128,0.71566,1.09868,0.00111388,0.00111388,0.00111388
13,900.586,1.05709,0.72643,1.05261,0.67355,0.7804,0.80802,0.57635,1.07103,0.73097,1.0745,0.0011015,0.0011015,0.0011015
14,970.131,1.03702,0.70022,1.0425,0.7976,0.76008,0.81753,0.579,1.0728,0.68759,1.06582,0.00108913,0.00108913,0.00108913
15,1038.98,1.03053,0.68654,1.03014,0.7367,0.83259,0.84199,0.61109,1.05671,0.68147,1.06146,0.00107675,0.00107675,0.00107675
16,1106.07,1.03758,0.6794,1.03585,0.77235,0.85019,0.87067,0.63884,1.05579,0.6825,1.05993,0.00106437,0.00106437,0.00106437
17,1172.98,1.03392,0.68695,1.03743,0.85344,0.77256,0.86562,0.62305,1.08772,0.68824,1.06967,0.001052,0.001052,0.001052
18,1240.83,1.00951,0.66295,1.02077,0.68543,0.78006,0.79168,0.57181,1.11558,0.69034,1.09778,0.00103962,0.00103962,0.00103962
19,1310.86,1.00338,0.66187,1.0218,0.76317,0.79941,0.83477,0.61263,1.06397,0.68707,1.0661,0.00102725,0.00102725,0.00102725
20,1379.64,0.98643,0.64524,1.02293,0.73226,0.72444,0.78885,0.57491,1.06347,0.70348,1.05292,0.00101488,0.00101488,0.00101488
21,1448.2,0.98172,0.63807,1.00879,0.86768,0.76675,0.85972,0.61259,1.09951,0.6478,1.07625,0.0010025,0.0010025,0.0010025
22,1515.84,0.98622,0.64073,1.0208,0.79761,0.73681,0.78216,0.57584,1.0592,0.66598,1.05665,0.000990125,0.000990125,0.000990125
23,1583.72,0.96975,0.62399,1.0078,0.78276,0.7255,0.78273,0.57581,1.05568,0.70791,1.05944,0.00097775,0.00097775,0.00097775
24,1651.63,0.97063,0.62959,1.00697,0.75723,0.828,0.81489,0.60551,1.02419,0.66221,1.06447,0.000965375,0.000965375,0.000965375
25,1719.8,0.95558,0.62087,1.00608,0.89354,0.7416,0.86478,0.6421,1.0564,0.6441,1.0685,0.000953,0.000953,0.000953
26,1788.46,0.95992,0.60554,1.00889,0.75233,0.83736,0.82635,0.60054,1.0797,0.68947,1.05723,0.000940625,0.000940625,0.000940625
27,1858.31,0.9443,0.60385,0.9926,0.72613,0.79593,0.79458,0.59813,1.06927,0.70397,1.07238,0.00092825,0.00092825,0.00092825
28,1926.24,0.93026,0.59028,0.99706,0.87983,0.74144,0.84523,0.61599,1.05957,0.6616,1.06337,0.000915875,0.000915875,0.000915875
29,1995.52,0.94881,0.59798,1.00172,0.81901,0.76786,0.83606,0.60438,1.0854,0.69455,1.06704,0.0009035,0.0009035,0.0009035
30,2064.68,0.92378,0.5805,0.9862,0.90276,0.69969,0.83302,0.60552,1.09416,0.68319,1.09868,0.000891125,0.000891125,0.000891125
31,2132.6,0.91636,0.58545,0.9852,0.8406,0.74992,0.83923,0.61164,1.05933,0.6539,1.06522,0.00087875,0.00087875,0.00087875
32,2199.2,0.90836,0.57589,0.98569,0.86055,0.69911,0.79309,0.56967,1.10356,0.67068,1.10798,0.000866375,0.000866375,0.000866375
33,2267.89,0.91074,0.57347,0.98445,0.85503,0.72925,0.82577,0.59524,1.05421,0.65872,1.06968,0.000854,0.000854,0.000854
34,2336.28,0.91976,0.56781,0.99475,0.79091,0.76468,0.81873,0.60805,1.0553,0.66775,1.0785,0.000841625,0.000841625,0.000841625
35,2404.45,0.90378,0.56446,0.98389,0.83692,0.70398,0.81787,0.6188,1.03625,0.66361,1.04752,0.00082925,0.00082925,0.00082925
